flight/date,flight/status,departure/airport,departure/iata,departure/delay/minutes,departure/scheduled,departure/estimated,departure/actual,arrival/airport,arrival/iata,arrival/scheduled,arrival/delay/minutes,arrival/estimated,arrival/actual,airline/name,airline/iata,airline/icao,flight/number,flight/iata,flight/icao,year,month,day,day/of/week,total/delay/minutes,route,is/delayed
31/07/2022,landed,CARTHAGE,TUN,32,31/07/2022 16:55,31/07/2022 17:27,31/07/2022 17:27,ORLY,ORY,31/07/2022 20:20,19,31/07/2022 20:39,31/07/2022 20:39,Tunisair,TU,TAR,720,TU720,TAR720,,,,,,,
31/07/2022,landed,CARTHAGE,TUN,25,31/07/2022 17:55,31/07/2022 18:20,31/07/2022 18:20,ATATURK,IST,31/07/2022 22:35,13,31/07/2022 22:48,31/07/2022 22:48,Tunisair,TU,TAR,216,TU216,TAR216,,,,,,,
31/07/2022,landed,CARTHAGE,TUN,60,31/07/2022 19:30,31/07/2022 20:30,31/07/2022 20:30,SAINT EXUPERY,LYS,31/07/2022 22:20,60,31/07/2022 23:20,,Tunisair,TU,TAR,854,TU854,TAR854,,,,,,,
31/07/2022,landed,CARTHAGE,TUN,0,31/07/2022 20:05,,,BARCELONA,BCN,31/07/2022 22:45,11,31/07/2022 22:34,31/07/2022 22:34,Tunisair,TU,TAR,514,TU514,TAR514,,,,,,,
31/07/2022,landed,CARTHAGE,TUN,215,31/07/2022 21:05,1/8/2022 0:40,1/8/2022 0:40,BARAJAS,MAD,1/8/2022 0:20,205,1/8/2022 3:45,1/8/2022 3:45,Tunisair,TU,TAR,606,TU606,TAR606,,,,,,,
31/07/2022,landed,FIUMICINO,FCO,28,31/07/2022 10:35,31/07/2022 11:03,31/07/2022 11:03,CARTHAGE,TUN,31/07/2022 10:50,30,31/07/2022 11:20,31/07/2022 11:20,Tunisair,TU,TAR,753,TU753,TAR753,,,,,,,
31/07/2022,landed,PROVENCE,MRS,7,31/07/2022 10:25,31/07/2022 10:32,31/07/2022 10:32,CARTHAGE,TUN,31/07/2022 11:00,0,,,Tunisair,TU,TAR,931,TU931,TAR931,,,,,,,
31/07/2022,landed,COTE DAZUR,NCE,92,31/07/2022 10:30,31/07/2022 12:02,31/07/2022 12:02,CARTHAGE,TUN,31/07/2022 11:05,85,31/07/2022 12:30,31/07/2022 12:30,Tunisair,TU,TAR,997,TU997,TAR997,,,,,,,
31/07/2022,landed,ORLY,ORY,59,31/07/2022 10:20,31/07/2022 11:19,31/07/2022 11:19,CARTHAGE,TUN,31/07/2022 11:45,55,31/07/2022 12:40,31/07/2022 12:40,Tunisair,TU,TAR,717,TU717,TAR717,,,,,,,
31/07/2022,landed,BOLOGNA,BLQ,215,31/07/2022 11:35,31/07/2022 15:10,,CARTHAGE,TUN,31/07/2022 12:05,215,,,Tunisair,TU,TAR,363,TU363,TAR363,,,,,,,
31/07/2022,landed,MALPENSA,MXP,60,31/07/2022 11:45,31/07/2022 12:45,31/07/2022 12:45,CARTHAGE,TUN,31/07/2022 12:35,45,31/07/2022 13:20,31/07/2022 13:20,Tunisair,TU,TAR,757,TU757,TAR757,,,,,,,
31/07/2022,landed,GENEVE COINTRIN,GVA,51,31/07/2022 12:00,31/07/2022 12:51,31/07/2022 12:51,CARTHAGE,TUN,31/07/2022 12:55,40,31/07/2022 13:35,31/07/2022 13:35,Tunisair,TU,TAR,703,TU703,TAR703,,,,,,,
31/07/2022,landed,FRANKFURT MAIN,FRA,0,31/07/2022 12:20,,,CARTHAGE,TUN,31/07/2022 13:40,0,,,Tunisair,TU,TAR,745,TU745,TAR745,,,,,,,
31/07/2022,landed,ATATURK,IST,10,31/07/2022 13:10,31/07/2022 13:05,31/07/2022 13:05,CARTHAGE,TUN,31/07/2022 13:55,10,31/07/2022 14:05,31/07/2022 14:05,Tunisair,TU,TAR,215,TU215,TAR215,,,,,,,
31/07/2022,landed,BRUSSELS NATL,BRU,51,31/07/2022 12:25,31/07/2022 13:16,31/07/2022 13:16,CARTHAGE,TUN,31/07/2022 14:00,35,31/07/2022 14:35,31/07/2022 14:35,Tunisair,TU,TAR,789,TU789,TAR789,,,,,,,
31/07/2022,landed,ORLY,ORY,15,31/07/2022 12:40,31/07/2022 12:55,31/07/2022 12:55,CARTHAGE,TUN,31/07/2022 14:05,10,31/07/2022 14:15,31/07/2022 14:15,Tunisair,TU,TAR,719,TU719,TAR719,,,,,,,
31/07/2022,landed,HOUARI BOUMEDIENE,ALG,40,31/07/2022 14:35,31/07/2022 15:15,31/07/2022 15:15,CARTHAGE,TUN,31/07/2022 15:45,35,31/07/2022 16:20,31/07/2022 16:20,Tunisair,TU,TAR,375,TU375,TAR375,,,,,,,
31/07/2022,landed,COTE DAZUR,NCE,90,31/07/2022 16:15,31/07/2022 17:45,31/07/2022 17:45,CARTHAGE,TUN,31/07/2022 16:50,0,,,Tunisair,TU,TAR,999,TU999,TAR999,,,,,,,
31/07/2022,landed,BLAGNAC,TLS,80,31/07/2022 16:45,31/07/2022 18:05,31/07/2022 18:05,CARTHAGE,TUN,31/07/2022 17:35,90,31/07/2022 19:05,31/07/2022 19:05,Tunisair,TU,TAR,283,TU283,TAR283,,,,,,,
31/07/2022,landed,PROVENCE,MRS,0,31/07/2022 17:20,,,CARTHAGE,TUN,31/07/2022 17:55,0,,,Tunisair,TU,TAR,903,TU903,TAR903,,,,,,,
31/07/2022,landed,MALPENSA,MXP,75,31/07/2022 17:15,31/07/2022 18:30,31/07/2022 18:30,CARTHAGE,TUN,31/07/2022 18:05,77,31/07/2022 19:22,31/07/2022 19:22,Tunisair,TU,TAR,857,TU857,TAR857,,,,,,,
31/07/2022,landed,GENEVE COINTRIN,GVA,35,31/07/2022 18:00,31/07/2022 18:35,31/07/2022 18:35,CARTHAGE,TUN,31/07/2022 18:55,30,31/07/2022 19:25,31/07/2022 19:25,Tunisair,TU,TAR,701,TU701,TAR701,,,,,,,
31/07/2022,landed,SAINT EXUPERY,LYS,160,31/07/2022 19:00,31/07/2022 21:40,31/07/2022 21:40,CARTHAGE,TUN,31/07/2022 19:55,150,31/07/2022 22:25,31/07/2022 22:25,Tunisair,TU,TAR,851,TU851,TAR851,,,,,,,
31/07/2022,landed,ORLY,ORY,15,31/07/2022 20:30,31/07/2022 20:45,31/07/2022 20:45,CARTHAGE,TUN,31/07/2022 21:55,5,31/07/2022 22:00,31/07/2022 22:00,Tunisair,TU,TAR,723,TU723,TAR723,,,,,,,
1/8/2022,landed,DUBAI INTL,DXB,33,1/8/2022 8:45,1/8/2022 9:18,1/8/2022 9:18,CARTHAGE,TUN,1/8/2022 11:55,9,1/8/2022 12:04,1/8/2022 12:04,Tunisair,TU,TAR,147,TU147,TAR147,,,,,,,
2/8/2022,landed,CARTHAGE,TUN,0,2/8/2022 6:00,,,ORLY,ORY,2/8/2022 9:20,0,,,Tunisair,TU,TAR,716,TU716,TAR716,,,,,,,
2/8/2022,landed,CARTHAGE,TUN,0,2/8/2022 6:50,,,PROVENCE,MRS,2/8/2022 9:25,0,,,Tunisair,TU,TAR,930,TU930,TAR930,,,,,,,
2/8/2022,landed,CARTHAGE,TUN,0,2/8/2022 7:10,,,ATATURK,IST,2/8/2022 11:40,0,,,Tunisair,TU,TAR,214,TU214,TAR214,,,,,,,
2/8/2022,landed,CARTHAGE,TUN,0,2/8/2022 7:20,,,SCHWECHAT,VIE,2/8/2022 10:35,0,,,Tunisair,TU,TAR,642,TU642,TAR642,,,,,,,
2/8/2022,landed,CARTHAGE,TUN,0,2/8/2022 7:40,,,SAINT EXUPERY,LYS,2/8/2022 10:30,0,,,Tunisair,TU,TAR,750,TU750,TAR750,,,,,,,
2/8/2022,landed,CARTHAGE,TUN,0,2/8/2022 7:45,,,ORLY,ORY,2/8/2022 11:10,0,,,Tunisair,TU,TAR,718,TU718,TAR718,,,,,,,
2/8/2022,landed,CARTHAGE,TUN,0,2/8/2022 7:50,,,BRUSSELS NATL,BRU,2/8/2022 11:25,0,,,Tunisair,TU,TAR,788,TU788,TAR788,,,,,,,
2/8/2022,landed,CARTHAGE,TUN,0,2/8/2022 8:00,,,MALPENSA,MXP,2/8/2022 10:45,0,,,Tunisair,TU,TAR,756,TU756,TAR756,,,,,,,
2/8/2022,landed,CARTHAGE,TUN,0,2/8/2022 8:05,,,BLAGNAC,TLS,2/8/2022 11:00,0,,,Tunisair,TU,TAR,282,TU282,TAR282,,,,,,,
2/8/2022,landed,CARTHAGE,TUN,0,2/8/2022 8:05,,,FIUMICINO,FCO,2/8/2022 10:25,0,,,Tunisair,TU,TAR,752,TU752,TAR752,,,,,,,
1/8/2022,landed,QUEEN ALIA INTL,AMM,19,1/8/2022 10:45,1/8/2022 11:04,1/8/2022 11:04,CARTHAGE,TUN,1/8/2022 12:35,5,1/8/2022 12:40,1/8/2022 12:40,Tunisair,TU,TAR,151,TU151,TAR151,,,,,,,
1/8/2022,landed,ORLY,ORY,48,1/8/2022 21:50,1/8/2022 22:38,1/8/2022 22:38,CARTHAGE,TUN,1/8/2022 23:15,35,1/8/2022 23:50,,Tunisair,TU,TAR,725,TU725,TAR725,,,,,,,
1/8/2022,landed,PROVENCE,MRS,0,1/8/2022 23:00,,,CARTHAGE,TUN,1/8/2022 23:30,0,,,Tunisair,TU,TAR,929,TU929,TAR929,,,,,,,
1/8/2022,landed,ATATURK,IST,0,1/8/2022 23:45,,,CARTHAGE,TUN,2/8/2022 0:40,0,,,Tunisair,TU,TAR,217,TU217,TAR217,,,,,,,
1/8/2022,landed,PIERRE ELLIOTT TRUDEAU INTL,YUL,0,1/8/2022 15:30,,,CARTHAGE,TUN,2/8/2022 4:45,0,,,Tunisair,TU,TAR,203,TU203,TAR203,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,35,1/8/2022 11:55,1/8/2022 12:30,1/8/2022 12:30,BENINA,BEN,1/8/2022 14:40,0,,,Tunisair,TU,TAR,417,TU417,TAR417,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,16,1/8/2022 12:10,1/8/2022 12:26,1/8/2022 12:26,PROVENCE,MRS,1/8/2022 14:45,10,1/8/2022 14:55,1/8/2022 14:55,Tunisair,TU,TAR,902,TU902,TAR902,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,33,1/8/2022 12:15,1/8/2022 12:48,1/8/2022 12:48,HOUARI BOUMEDIENE,ALG,1/8/2022 13:35,30,1/8/2022 14:05,1/8/2022 14:05,Tunisair,TU,TAR,374,TU374,TAR374,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,49,1/8/2022 12:35,1/8/2022 13:24,1/8/2022 13:24,GENEVE COINTRIN,GVA,1/8/2022 15:30,41,1/8/2022 16:11,1/8/2022 16:11,Tunisair,TU,TAR,700,TU700,TAR700,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,52,1/8/2022 12:45,1/8/2022 13:37,1/8/2022 13:37,ENTZHEIM,SXB,1/8/2022 16:00,39,1/8/2022 16:39,1/8/2022 16:39,Tunisair,TU,TAR,246,TU246,TAR246,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,26,1/8/2022 13:40,1/8/2022 14:06,1/8/2022 14:06,FRANZ JOSEF STRAUSS,MUC,1/8/2022 16:50,22,1/8/2022 17:12,,Tunisair,TU,TAR,542,TU542,TAR542,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,44,1/8/2022 13:45,1/8/2022 14:29,1/8/2022 14:29,QUEEN ALIA INTL,AMM,1/8/2022 19:30,42,1/8/2022 20:12,1/8/2022 20:12,Tunisair,TU,TAR,152,TU152,TAR152,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,65,1/8/2022 13:55,1/8/2022 15:00,1/8/2022 15:00,DUBAI INTL,DXB,1/8/2022 22:40,65,1/8/2022 23:45,,Tunisair,TU,TAR,148,TU148,TAR148,,,,,,,
1/8/2022,landed,MITIGA AIRPORT,MJI,45,1/8/2022 10:30,,,CARTHAGE,TUN,1/8/2022 10:45,45,1/8/2022 11:30,1/8/2022 11:30,Tunisair,TU,TAR,404,TU404,TAR404,,,,,,,
1/8/2022,landed,COTE DAZUR,NCE,54,1/8/2022 10:20,1/8/2022 11:14,1/8/2022 11:14,CARTHAGE,TUN,1/8/2022 10:55,40,1/8/2022 11:35,1/8/2022 11:35,Tunisair,TU,TAR,997,TU997,TAR997,,,,,,,
1/8/2022,landed,PROVENCE,MRS,10,1/8/2022 10:25,1/8/2022 10:35,1/8/2022 10:35,CARTHAGE,TUN,1/8/2022 11:00,0,,,Tunisair,TU,TAR,931,TU931,TAR931,,,,,,,
1/8/2022,landed,FIUMICINO,FCO,6,1/8/2022 11:25,1/8/2022 11:31,1/8/2022 11:31,CARTHAGE,TUN,1/8/2022 11:40,10,1/8/2022 11:50,1/8/2022 11:50,Tunisair,TU,TAR,753,TU753,TAR753,,,,,,,
1/8/2022,landed,ORLY,ORY,11,1/8/2022 10:20,1/8/2022 10:31,1/8/2022 10:31,CARTHAGE,TUN,1/8/2022 11:45,0,,,Tunisair,TU,TAR,717,TU717,TAR717,,,,,,,
1/8/2022,landed,SAINT EXUPERY,LYS,40,1/8/2022 11:30,1/8/2022 12:10,1/8/2022 12:10,CARTHAGE,TUN,1/8/2022 12:25,35,1/8/2022 13:00,1/8/2022 13:00,Tunisair,TU,TAR,751,TU751,TAR751,,,,,,,
1/8/2022,landed,MALPENSA,MXP,9,1/8/2022 11:45,1/8/2022 11:54,1/8/2022 11:54,CARTHAGE,TUN,1/8/2022 12:35,5,1/8/2022 12:40,1/8/2022 12:40,Tunisair,TU,TAR,757,TU757,TAR757,,,,,,,
1/8/2022,landed,FRANKFURT MAIN,FRA,78,1/8/2022 12:20,,,CARTHAGE,TUN,1/8/2022 13:40,78,1/8/2022 14:58,,Tunisair,TU,TAR,745,TU745,TAR745,,,,,,,
1/8/2022,landed,ORLY,ORY,15,1/8/2022 12:40,1/8/2022 12:55,1/8/2022 12:55,CARTHAGE,TUN,1/8/2022 14:05,20,1/8/2022 14:25,1/8/2022 14:25,Tunisair,TU,TAR,719,TU719,TAR719,,,,,,,
1/8/2022,landed,MOHAMMED V INTL,CMN,0,1/8/2022 11:45,1/8/2022 11:35,1/8/2022 11:35,CARTHAGE,TUN,1/8/2022 14:10,0,1/8/2022 14:00,1/8/2022 14:00,Tunisair,TU,TAR,712,TU712,TAR712,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,84,1/8/2022 14:10,,,STANSTED,STN,1/8/2022 17:15,84,1/8/2022 18:39,,Tunisair,TU,TAR,792,TU792,TAR792,,,,,,,
1/8/2022,landed,HOUARI BOUMEDIENE,ALG,25,1/8/2022 14:35,1/8/2022 15:00,1/8/2022 15:00,CARTHAGE,TUN,1/8/2022 15:45,20,1/8/2022 16:05,1/8/2022 16:05,Tunisair,TU,TAR,375,TU375,TAR375,,,,,,,
1/8/2022,landed,PROVENCE,MRS,19,1/8/2022 15:45,1/8/2022 16:04,1/8/2022 16:04,CARTHAGE,TUN,1/8/2022 16:20,15,1/8/2022 16:35,1/8/2022 16:35,Tunisair,TU,TAR,903,TU903,TAR903,,,,,,,
1/8/2022,landed,BENINA,BEN,0,1/8/2022 15:40,,,CARTHAGE,TUN,1/8/2022 16:30,0,,,Tunisair,TU,TAR,418,TU418,TAR418,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,55,1/8/2022 15:10,1/8/2022 16:05,1/8/2022 16:05,DUSSELDORF,DUS,1/8/2022 18:55,48,1/8/2022 19:43,1/8/2022 19:43,Tunisair,TU,TAR,526,TU526,TAR526,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,31,1/8/2022 15:35,1/8/2022 16:06,1/8/2022 16:06,ORLY,ORY,1/8/2022 19:00,24,1/8/2022 19:24,1/8/2022 19:24,Tunisair,TU,TAR,722,TU722,TAR722,,,,,,,
1/8/2022,landed,GENEVE COINTRIN,GVA,41,1/8/2022 16:30,1/8/2022 17:11,1/8/2022 17:11,CARTHAGE,TUN,1/8/2022 17:25,0,,,Tunisair,TU,TAR,701,TU701,TAR701,,,,,,,
1/8/2022,landed,ENTZHEIM,SXB,39,1/8/2022 16:50,1/8/2022 17:29,1/8/2022 17:29,CARTHAGE,TUN,1/8/2022 18:00,30,1/8/2022 18:30,1/8/2022 18:30,Tunisair,TU,TAR,247,TU247,TAR247,,,,,,,
1/8/2022,landed,FRANZ JOSEF STRAUSS,MUC,58,1/8/2022 17:55,,,CARTHAGE,TUN,1/8/2022 19:00,58,1/8/2022 19:58,,Tunisair,TU,TAR,543,TU543,TAR543,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,49,1/8/2022 17:30,1/8/2022 18:19,1/8/2022 18:19,ORLY,ORY,1/8/2022 20:50,48,1/8/2022 21:38,1/8/2022 21:38,Tunisair,TU,TAR,724,TU724,TAR724,,,,,,,
1/8/2022,landed,CARTHAGE,TUN,15,1/8/2022 17:55,1/8/2022 18:10,1/8/2022 18:10,ATATURK,IST,1/8/2022 22:35,16,1/8/2022 22:51,1/8/2022 22:51,Tunisair,TU,TAR,216,TU216,TAR216,,,,,,,
1/8/2022,landed,STANSTED,STN,38,1/8/2022 18:15,1/8/2022 18:53,1/8/2022 18:53,CARTHAGE,TUN,1/8/2022 21:20,15,1/8/2022 21:35,1/8/2022 21:35,Tunisair,TU,TAR,793,TU793,TAR793,,,,,,,
1/8/2022,landed,DUSSELDORF,DUS,0,1/8/2022 19:55,,,CARTHAGE,TUN,1/8/2022 21:30,0,,,Tunisair,TU,TAR,527,TU527,TAR527,,,,,,,
