ID_FLIGHT,DEPARTURE_DATE,ARRIVAL_DATE,FLIGHT_NUMBER,FLIGHT_STATUS,DEPARTURE_IATA,DEPARTURE_AIRPORT,ARRIVAL_IATA,ARRIVAL_AIRPORT,DEPARTURE_SCHEDULED,DEPARTURE_HOUR,ARRIVAL_SCHEDULED,ARRIVAL_HOUR,DEPARTURE_ESTIMATED,ARRIVAL_ESTIMATED,DEPARTURE_ACTUAL,ARRIVAL_ACTUAL,DEPARTURE_DELAY,ARRIVAL_DELAY,AIRLINE,ARRIVAL_COUNTRY,DEPARTURE_COUNTRY
AF1084_03_08_2022_06_15,03/08/2022,03/08/2022,AF1084,landed,CDG,CHARLES DE GAULLE,TUN,CARTHAGE,2022-08-03 07:15,06h,2022-08-03 08:45,07h,,,,,0,0,AF,TUNISIA,FRANCE
BJ705_03_08_2022_06_45,03/08/2022,03/08/2022,BJ705,landed,CDG,CHARLES DE GAULLE,TUN,CARTHAGE,2022-08-03 07:45,06h,2022-08-03 09:10,08h,,,,,0,0,BJ,TUNISIA,FRANCE
BJ4325_03_08_2022_07_55,03/08/2022,03/08/2022,BJ4325,landed,DLM,DALAMAN,TUN,CARTHAGE,2022-08-03 08:55,07h,2022-08-03 09:40,08h,,,,,0,0,BJ,TUNISIA,TURKEY
BJ522_02_08_2022_10_10,02/08/2022,02/08/2022,BJ522,landed,TUN,CARTHAGE,NTE,NANTES ATLANTIQUE,2022-08-02 11:10,10h,2022-08-02 14:40,13h,,,,,0,0,BJ,FRANCE,TUNISIA
AF1285_02_08_2022_10_40,02/08/2022,02/08/2022,AF1285,cancelled,TUN,CARTHAGE,CDG,CHARLES DE GAULLE,2022-08-02 11:40,10h,2022-08-02 15:15,14h,,,,,0,0,AF,FRANCE,TUNISIA
TU708_02_08_2022_11_00,02/08/2022,02/08/2022,TU708,landed,TUN,CARTHAGE,ORN,ES SENIA,2022-08-02 12:00,11h,2022-08-02 13:45,12h,,2022-08-02 13:35,,2022-08-02 13:35,0,0,TU,ALGERIA,TUNISIA
TO3989_02_08_2022_11_30,02/08/2022,02/08/2022,TO3989,landed,TUN,CARTHAGE,ORY,ORLY,2022-08-02 12:30,12h,2022-08-02 16:00,15h,2022-08-02 13:17,2022-08-02 16:55,2022-08-02 13:17,2022-08-02 16:55,47,55,TO,FRANCE,TUNISIA
TU362_02_08_2022_11_30,02/08/2022,02/08/2022,TU362,landed,TUN,CARTHAGE,BLQ,BOLOGNA,2022-08-02 12:30,11h,2022-08-02 15:05,14h,2022-08-02 12:45,2022-08-02 15:15,2022-08-02 12:45,,15,10,TU,ITALY,TUNISIA
TU374_02_08_2022_11_45,02/08/2022,02/08/2022,TU374,landed,TUN,CARTHAGE,ALG,HOUARI BOUMEDIENE,2022-08-02 12:45,11h,2022-08-02 14:05,13h,2022-08-02 12:47,2022-08-02 14:10,2022-08-02 12:47,2022-08-02 14:10,2,5,TU,ALGERIA,TUNISIA
BJ586_02_08_2022_11_50,02/08/2022,02/08/2022,BJ586,landed,TUN,CARTHAGE,NCE,COTE DAZUR,2022-08-02 12:50,11h,2022-08-02 15:25,14h,,,,,0,0,BJ,FRANCE,TUNISIA
