FLIGHT_DATE;DEPARTURE_DATE;ARRIVAL_DATE;FLIGHT_NUMBER;FLIGHT_STATUS;DEPARTURE_IATA;DEPARTURE_AIRPORT;ARRIVAL_IATA;ARRIVAL_AIRPORT;DEPARTURE_SCHEDULED;DEPARTURE_HOUR;ARRIVAL_SCHEDULED;ARRIVAL_HOUR;DEPARTURE_ESTIMATED;ARRIVAL_ESTIMATED;DEPARTURE_ACTUAL;ARRIVAL_ACTUAL;DEPARTURE_DELAY;ARRIVAL_DELAY;AIRLINE;ARRIVAL_COUNTRY;DEPARTURE_COUNTRY
31_07_2022_17_55;31/07/2022;31/07/2022;TU563;landed;TUN;CARTHAGE;NKC;NOUAKCHOTT;31/07/2022 18:55;17h;31/07/2022 22:50;21h;;;;;0.0;0.0;TU;MAURITANIA;TUNISIA
31_07_2022_21_30;31/07/2022;01/08/2022;TU705;landed;TUN;CARTHAGE;CMN;MOHAMMED V INTL;31/07/2022 22:30;21h;01/08/2022 01:10;00h;;;;;0.0;0.0;TU;MOROCCO;TUNISIA
01_08_2022_05_00;01/08/2022;01/08/2022;TU716;landed;TUN;CARTHAGE;ORY;ORLY;01/08/2022 06:00;05h;01/08/2022 09:20;08h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
01_08_2022_05_50;01/08/2022;01/08/2022;TU930;landed;TUN;CARTHAGE;MRS;PROVENCE;01/08/2022 06:50;05h;01/08/2022 09:25;08h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
01_08_2022_06_00;01/08/2022;01/08/2022;TU996;landed;TUN;CARTHAGE;NCE;COTE DAZUR;01/08/2022 07:00;06h;01/08/2022 09:30;08h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
01_08_2022_06_20;01/08/2022;01/08/2022;TU403;landed;TUN;CARTHAGE;MJI;MITIGA AIRPORT;01/08/2022 07:20;06h;01/08/2022 09:30;08h;;;;;0.0;0.0;TU;LIBYA;TUNISIA
01_08_2022_06_40;01/08/2022;01/08/2022;TU718;landed;TUN;CARTHAGE;ORY;ORLY;01/08/2022 07:40;06h;01/08/2022 11:05;10h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
01_08_2022_06_40;01/08/2022;01/08/2022;TU750;landed;TUN;CARTHAGE;LYS;SAINT EXUPERY;01/08/2022 07:40;06h;01/08/2022 10:30;09h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
01_08_2022_06_55;01/08/2022;01/08/2022;TU744;landed;TUN;CARTHAGE;FRA;FRANKFURT MAIN;01/08/2022 07:55;06h;01/08/2022 11:30;10h;;;;;0.0;0.0;TU;GERMANY;TUNISIA
01_08_2022_07_00;01/08/2022;01/08/2022;TU756;landed;TUN;CARTHAGE;MXP;MALPENSA;01/08/2022 08:00;07h;01/08/2022 10:45;09h;;;;;0.0;0.0;TU;ITALY;TUNISIA
01_08_2022_07_05;01/08/2022;01/08/2022;TU752;landed;TUN;CARTHAGE;FCO;FIUMICINO;01/08/2022 08:05;07h;01/08/2022 10:25;09h;;;;;0.0;0.0;TU;ITALY;TUNISIA
01_08_2022_07_15;01/08/2022;01/08/2022;TU711;landed;TUN;CARTHAGE;CMN;MOHAMMED V INTL;01/08/2022 08:15;07h;01/08/2022 10:55;09h;;;;;0.0;0.0;TU;MOROCCO;TUNISIA
01_08_2022_08_35;01/08/2022;01/08/2022;TU202;landed;TUN;CARTHAGE;YUL;PIERRE ELLIOTT TRUDEAU INTL;01/08/2022 09:35;08h;01/08/2022 13:30;12h;;;;;0.0;0.0;TU;CANADA;TUNISIA
31_07_2022_09_45;31/07/2022;31/07/2022;TU151;landed;AMM;QUEEN ALIA INTL;TUN;CARTHAGE;31/07/2022 10:45;10h;31/07/2022 12:35;12h;31/07/2022 11:17;31/07/2022 13:00;31/07/2022 11:17;31/07/2022 13:00;32.0;25.0;TU;TUNISIA;JORDAN
31_07_2022_20_40;31/07/2022;31/07/2022;TU721;landed;ORY;ORLY;TUN;CARTHAGE;31/07/2022 21:40;20h;31/07/2022 23:05;22h;;;;;0.0;0.0;TU;TUNISIA;FRANCE
31_07_2022_22_20;31/07/2022;31/07/2022;TU855;landed;LYS;SAINT EXUPERY;TUN;CARTHAGE;31/07/2022 23:20;23h;01/08/2022 00:15;23h;01/08/2022 00:10;01/08/2022 00:55;01/08/2022 00:10;;50.0;40.0;TU;TUNISIA;FRANCE
31_07_2022_22_45;31/07/2022;31/07/2022;TU515;landed;BCN;BARCELONA;TUN;CARTHAGE;31/07/2022 23:45;22h;01/08/2022 00:20;23h;;;;;0.0;0.0;TU;TUNISIA;SPAIN
31_07_2022_22_45;31/07/2022;31/07/2022;TU217;landed;IST;ATATURK;TUN;CARTHAGE;31/07/2022 23:45;22h;01/08/2022 00:40;23h;;;;;0.0;0.0;TU;TUNISIA;TURKEY
01_08_2022_00_20;01/08/2022;01/08/2022;TU607;landed;MAD;BARAJAS;TUN;CARTHAGE;01/08/2022 01:20;00h;01/08/2022 02:35;01h;;;;;0.0;0.0;TU;TUNISIA;SPAIN
01_08_2022_01_00;01/08/2022;01/08/2022;TU706;landed;CMN;MOHAMMED V INTL;TUN;CARTHAGE;01/08/2022 02:00;01h;01/08/2022 04:25;03h;;;;;0.0;0.0;TU;TUNISIA;MOROCCO
31_07_2022_21_30;31/07/2022;01/08/2022;TU397;landed;ABJ;ABIDJAN FELIX HOUPHOUET BOIGNY INTL;TUN;CARTHAGE;31/07/2022 22:30;21h;01/08/2022 04:45;03h;;;;;0.0;0.0;TU;TUNISIA;COTE D'IVOIRE
31_07_2022_22_50;31/07/2022;01/08/2022;TU564;landed;NKC;NOUAKCHOTT;TUN;CARTHAGE;31/07/2022 23:50;22h;01/08/2022 05:05;04h;;;;;0.0;0.0;TU;TUNISIA;MAURITANIA
31_07_2022_11_15;31/07/2022;31/07/2022;TU374;landed;TUN;CARTHAGE;ALG;HOUARI BOUMEDIENE;31/07/2022 12:15;11h;31/07/2022 13:35;13h;;31/07/2022 14:15;;31/07/2022 14:15;40.0;40.0;TU;ALGERIA;TUNISIA
31_07_2022_11_50;31/07/2022;31/07/2022;TU282;landed;TUN;CARTHAGE;TLS;BLAGNAC;31/07/2022 12:50;13h;31/07/2022 15:45;14h;31/07/2022 14:44;;31/07/2022 14:44;;114.0;0.0;TU;FRANCE;TUNISIA
31_07_2022_11_55;31/07/2022;31/07/2022;TU998;landed;TUN;CARTHAGE;NCE;COTE DAZUR;31/07/2022 12:55;11h;31/07/2022 15:25;15h;;31/07/2022 16:22;;31/07/2022 16:22;57.0;57.0;TU;FRANCE;TUNISIA
31_07_2022_12_30;31/07/2022;31/07/2022;TU856;landed;TUN;CARTHAGE;MXP;MALPENSA;31/07/2022 13:30;13h;31/07/2022 16:15;16h;31/07/2022 14:45;31/07/2022 17:25;31/07/2022 14:45;31/07/2022 17:25;75.0;70.0;TU;ITALY;TUNISIA
31_07_2022_12_45;31/07/2022;31/07/2022;TU152;landed;TUN;CARTHAGE;AMM;QUEEN ALIA INTL;31/07/2022 13:45;13h;31/07/2022 19:30;18h;31/07/2022 14:24;31/07/2022 19:50;31/07/2022 14:24;31/07/2022 19:50;39.0;20.0;TU;JORDAN;TUNISIA
31_07_2022_12_45;31/07/2022;31/07/2022;TU902;landed;TUN;CARTHAGE;MRS;PROVENCE;31/07/2022 13:45;15h;31/07/2022 16:20;18h;31/07/2022 16:05;31/07/2022 19:23;;31/07/2022 19:23;140.0;183.0;TU;FRANCE;TUNISIA
31_07_2022_12_55;31/07/2022;31/07/2022;TU148;landed;TUN;CARTHAGE;DXB;DUBAI INTL;31/07/2022 13:55;13h;31/07/2022 22:40;21h;31/07/2022 14:04;31/07/2022 22:57;31/07/2022 14:04;;9.0;17.0;TU;UNITED ARAB EMIRATES;TUNISIA
31_07_2022_13_05;31/07/2022;31/07/2022;TU700;landed;TUN;CARTHAGE;GVA;GENEVE COINTRIN;31/07/2022 14:05;13h;31/07/2022 17:00;16h;31/07/2022 14:49;31/07/2022 17:42;31/07/2022 14:49;31/07/2022 17:42;44.0;42.0;TU;SWITZERLAND;TUNISIA
31_07_2022_14_10;31/07/2022;31/07/2022;TU850;landed;TUN;CARTHAGE;LYS;SAINT EXUPERY;31/07/2022 15:10;14h;31/07/2022 18:00;17h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
31_07_2022_14_35;31/07/2022;31/07/2022;TU722;landed;TUN;CARTHAGE;ORY;ORLY;31/07/2022 15:35;15h;31/07/2022 19:00;18h;31/07/2022 16:27;31/07/2022 19:42;31/07/2022 16:27;31/07/2022 19:42;52.0;42.0;TU;FRANCE;TUNISIA
31_07_2022_14_55;31/07/2022;31/07/2022;TU397;landed;TUN;CARTHAGE;OUA;OUAGADOUGOU;31/07/2022 15:55;15h;31/07/2022 19:15;18h;31/07/2022 16:32;31/07/2022 19:52;31/07/2022 16:32;;37.0;37.0;TU;BURKINA FASO;TUNISIA
31_07_2022_15_55;31/07/2022;31/07/2022;TU720;landed;TUN;CARTHAGE;ORY;ORLY;31/07/2022 16:55;16h;31/07/2022 20:20;19h;31/07/2022 17:27;31/07/2022 20:39;31/07/2022 17:27;31/07/2022 20:39;32.0;19.0;TU;FRANCE;TUNISIA
31_07_2022_16_55;31/07/2022;31/07/2022;TU216;landed;TUN;CARTHAGE;IST;ATATURK;31/07/2022 17:55;17h;31/07/2022 22:35;21h;31/07/2022 18:20;31/07/2022 22:48;31/07/2022 18:20;31/07/2022 22:48;25.0;13.0;TU;TURKEY;TUNISIA
31_07_2022_18_30;31/07/2022;31/07/2022;TU854;landed;TUN;CARTHAGE;LYS;SAINT EXUPERY;31/07/2022 19:30;19h;31/07/2022 22:20;22h;31/07/2022 20:30;31/07/2022 23:20;31/07/2022 20:30;;60.0;60.0;TU;FRANCE;TUNISIA
31_07_2022_19_05;31/07/2022;31/07/2022;TU514;landed;TUN;CARTHAGE;BCN;BARCELONA;31/07/2022 20:05;19h;31/07/2022 22:45;21h;;31/07/2022 22:34;;31/07/2022 22:34;0.0;11.0;TU;SPAIN;TUNISIA
31_07_2022_20_05;31/07/2022;01/08/2022;TU606;landed;TUN;CARTHAGE;MAD;BARAJAS;31/07/2022 21:05;23h;01/08/2022 00:20;02h;01/08/2022 00:40;01/08/2022 03:45;01/08/2022 00:40;01/08/2022 03:45;215.0;205.0;TU;SPAIN;TUNISIA
31_07_2022_09_35;31/07/2022;31/07/2022;TU753;landed;FCO;FIUMICINO;TUN;CARTHAGE;31/07/2022 10:35;10h;31/07/2022 10:50;10h;31/07/2022 11:03;31/07/2022 11:20;31/07/2022 11:03;31/07/2022 11:20;28.0;30.0;TU;TUNISIA;ITALY
31_07_2022_09_25;31/07/2022;31/07/2022;TU931;landed;MRS;PROVENCE;TUN;CARTHAGE;31/07/2022 10:25;09h;31/07/2022 11:00;10h;31/07/2022 10:32;;31/07/2022 10:32;;7.0;0.0;TU;TUNISIA;FRANCE
31_07_2022_09_30;31/07/2022;31/07/2022;TU997;landed;NCE;COTE DAZUR;TUN;CARTHAGE;31/07/2022 10:30;11h;31/07/2022 11:05;11h;31/07/2022 12:02;31/07/2022 12:30;31/07/2022 12:02;31/07/2022 12:30;92.0;85.0;TU;TUNISIA;FRANCE
31_07_2022_09_20;31/07/2022;31/07/2022;TU717;landed;ORY;ORLY;TUN;CARTHAGE;31/07/2022 10:20;10h;31/07/2022 11:45;11h;31/07/2022 11:19;31/07/2022 12:40;31/07/2022 11:19;31/07/2022 12:40;59.0;55.0;TU;TUNISIA;FRANCE
31_07_2022_10_35;31/07/2022;31/07/2022;TU363;landed;BLQ;BOLOGNA;TUN;CARTHAGE;31/07/2022 11:35;14h;31/07/2022 12:05;11h;31/07/2022 15:10;;;;215.0;215.0;TU;TUNISIA;ITALY
31_07_2022_10_45;31/07/2022;31/07/2022;TU757;landed;MXP;MALPENSA;TUN;CARTHAGE;31/07/2022 11:45;11h;31/07/2022 12:35;12h;31/07/2022 12:45;31/07/2022 13:20;31/07/2022 12:45;31/07/2022 13:20;60.0;45.0;TU;TUNISIA;ITALY
31_07_2022_11_00;31/07/2022;31/07/2022;TU703;landed;GVA;GENEVE COINTRIN;TUN;CARTHAGE;31/07/2022 12:00;11h;31/07/2022 12:55;12h;31/07/2022 12:51;31/07/2022 13:35;31/07/2022 12:51;31/07/2022 13:35;51.0;40.0;TU;TUNISIA;SWITZERLAND
31_07_2022_11_20;31/07/2022;31/07/2022;TU745;landed;FRA;FRANKFURT MAIN;TUN;CARTHAGE;31/07/2022 12:20;11h;31/07/2022 13:40;12h;;;;;0.0;0.0;TU;TUNISIA;GERMANY
31_07_2022_12_10;31/07/2022;31/07/2022;TU215;landed;IST;ATATURK;TUN;CARTHAGE;31/07/2022 13:10;12h;31/07/2022 13:55;13h;31/07/2022 13:05;31/07/2022 14:05;31/07/2022 13:05;31/07/2022 14:05;10.0;10.0;TU;TUNISIA;TURKEY
31_07_2022_11_25;31/07/2022;31/07/2022;TU789;landed;BRU;BRUSSELS NATL;TUN;CARTHAGE;31/07/2022 12:25;12h;31/07/2022 14:00;13h;31/07/2022 13:16;31/07/2022 14:35;31/07/2022 13:16;31/07/2022 14:35;51.0;35.0;TU;TUNISIA;BELGIUM
31_07_2022_11_40;31/07/2022;31/07/2022;TU719;landed;ORY;ORLY;TUN;CARTHAGE;31/07/2022 12:40;11h;31/07/2022 14:05;13h;31/07/2022 12:55;31/07/2022 14:15;31/07/2022 12:55;31/07/2022 14:15;15.0;10.0;TU;TUNISIA;FRANCE
31_07_2022_13_35;31/07/2022;31/07/2022;TU375;landed;ALG;HOUARI BOUMEDIENE;TUN;CARTHAGE;31/07/2022 14:35;14h;31/07/2022 15:45;15h;31/07/2022 15:15;31/07/2022 16:20;31/07/2022 15:15;31/07/2022 16:20;40.0;35.0;TU;TUNISIA;ALGERIA
31_07_2022_15_15;31/07/2022;31/07/2022;TU999;landed;NCE;COTE DAZUR;TUN;CARTHAGE;31/07/2022 16:15;16h;31/07/2022 16:50;15h;31/07/2022 17:45;;31/07/2022 17:45;;90.0;0.0;TU;TUNISIA;FRANCE
31_07_2022_15_45;31/07/2022;31/07/2022;TU283;landed;TLS;BLAGNAC;TUN;CARTHAGE;31/07/2022 16:45;17h;31/07/2022 17:35;18h;31/07/2022 18:05;31/07/2022 19:05;31/07/2022 18:05;31/07/2022 19:05;80.0;90.0;TU;TUNISIA;FRANCE
31_07_2022_16_20;31/07/2022;31/07/2022;TU903;landed;MRS;PROVENCE;TUN;CARTHAGE;31/07/2022 17:20;16h;31/07/2022 17:55;16h;;;;;0.0;0.0;TU;TUNISIA;FRANCE
31_07_2022_16_15;31/07/2022;31/07/2022;TU857;landed;MXP;MALPENSA;TUN;CARTHAGE;31/07/2022 17:15;17h;31/07/2022 18:05;18h;31/07/2022 18:30;31/07/2022 19:22;31/07/2022 18:30;31/07/2022 19:22;75.0;77.0;TU;TUNISIA;ITALY
31_07_2022_17_00;31/07/2022;31/07/2022;TU701;landed;GVA;GENEVE COINTRIN;TUN;CARTHAGE;31/07/2022 18:00;17h;31/07/2022 18:55;18h;31/07/2022 18:35;31/07/2022 19:25;31/07/2022 18:35;31/07/2022 19:25;35.0;30.0;TU;TUNISIA;SWITZERLAND
31_07_2022_18_00;31/07/2022;31/07/2022;TU851;landed;LYS;SAINT EXUPERY;TUN;CARTHAGE;31/07/2022 19:00;20h;31/07/2022 19:55;21h;31/07/2022 21:40;31/07/2022 22:25;31/07/2022 21:40;31/07/2022 22:25;160.0;150.0;TU;TUNISIA;FRANCE
31_07_2022_19_30;31/07/2022;31/07/2022;TU723;landed;ORY;ORLY;TUN;CARTHAGE;31/07/2022 20:30;19h;31/07/2022 21:55;21h;31/07/2022 20:45;31/07/2022 22:00;31/07/2022 20:45;31/07/2022 22:00;15.0;5.0;TU;TUNISIA;FRANCE
01_08_2022_07_45;01/08/2022;01/08/2022;TU147;landed;DXB;DUBAI INTL;TUN;CARTHAGE;01/08/2022 08:45;08h;01/08/2022 11:55;11h;01/08/2022 09:18;01/08/2022 12:04;01/08/2022 09:18;01/08/2022 12:04;33.0;9.0;TU;TUNISIA;UNITED ARAB EMIRATES
02_08_2022_05_00;02/08/2022;02/08/2022;TU716;landed;TUN;CARTHAGE;ORY;ORLY;02/08/2022 06:00;05h;02/08/2022 09:20;08h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
02_08_2022_05_50;02/08/2022;02/08/2022;TU930;landed;TUN;CARTHAGE;MRS;PROVENCE;02/08/2022 06:50;05h;02/08/2022 09:25;08h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
02_08_2022_06_10;02/08/2022;02/08/2022;TU214;landed;TUN;CARTHAGE;IST;ATATURK;02/08/2022 07:10;06h;02/08/2022 11:40;10h;;;;;0.0;0.0;TU;TURKEY;TUNISIA
02_08_2022_06_20;02/08/2022;02/08/2022;TU642;landed;TUN;CARTHAGE;VIE;SCHWECHAT;02/08/2022 07:20;06h;02/08/2022 10:35;09h;;;;;0.0;0.0;TU;AUSTRIA;TUNISIA
02_08_2022_06_40;02/08/2022;02/08/2022;TU750;landed;TUN;CARTHAGE;LYS;SAINT EXUPERY;02/08/2022 07:40;06h;02/08/2022 10:30;09h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
02_08_2022_06_45;02/08/2022;02/08/2022;TU718;landed;TUN;CARTHAGE;ORY;ORLY;02/08/2022 07:45;06h;02/08/2022 11:10;10h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
02_08_2022_06_50;02/08/2022;02/08/2022;TU788;landed;TUN;CARTHAGE;BRU;BRUSSELS NATL;02/08/2022 07:50;06h;02/08/2022 11:25;10h;;;;;0.0;0.0;TU;BELGIUM;TUNISIA
02_08_2022_07_00;02/08/2022;02/08/2022;TU756;landed;TUN;CARTHAGE;MXP;MALPENSA;02/08/2022 08:00;07h;02/08/2022 10:45;09h;;;;;0.0;0.0;TU;ITALY;TUNISIA
02_08_2022_07_05;02/08/2022;02/08/2022;TU282;landed;TUN;CARTHAGE;TLS;BLAGNAC;02/08/2022 08:05;07h;02/08/2022 11:00;10h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
02_08_2022_07_05;02/08/2022;02/08/2022;TU752;landed;TUN;CARTHAGE;FCO;FIUMICINO;02/08/2022 08:05;07h;02/08/2022 10:25;09h;;;;;0.0;0.0;TU;ITALY;TUNISIA
01_08_2022_09_45;01/08/2022;01/08/2022;TU151;landed;AMM;QUEEN ALIA INTL;TUN;CARTHAGE;01/08/2022 10:45;10h;01/08/2022 12:35;11h;01/08/2022 11:04;01/08/2022 12:40;01/08/2022 11:04;01/08/2022 12:40;19.0;5.0;TU;TUNISIA;JORDAN
01_08_2022_20_50;01/08/2022;01/08/2022;TU725;landed;ORY;ORLY;TUN;CARTHAGE;01/08/2022 21:50;21h;01/08/2022 23:15;22h;01/08/2022 22:38;01/08/2022 23:50;01/08/2022 22:38;;48.0;35.0;TU;TUNISIA;FRANCE
01_08_2022_22_00;01/08/2022;01/08/2022;TU929;landed;MRS;PROVENCE;TUN;CARTHAGE;01/08/2022 23:00;22h;01/08/2022 23:30;22h;;;;;0.0;0.0;TU;TUNISIA;FRANCE
01_08_2022_22_45;01/08/2022;01/08/2022;TU217;landed;IST;ATATURK;TUN;CARTHAGE;01/08/2022 23:45;22h;02/08/2022 00:40;23h;;;;;0.0;0.0;TU;TUNISIA;TURKEY
01_08_2022_14_30;01/08/2022;02/08/2022;TU203;landed;YUL;PIERRE ELLIOTT TRUDEAU INTL;TUN;CARTHAGE;01/08/2022 15:30;14h;02/08/2022 04:45;03h;;;;;0.0;0.0;TU;TUNISIA;CANADA
01_08_2022_10_55;01/08/2022;01/08/2022;TU417;landed;TUN;CARTHAGE;BEN;BENINA;01/08/2022 11:55;11h;01/08/2022 14:40;13h;01/08/2022 12:30;;01/08/2022 12:30;;35.0;0.0;TU;LIBYA;TUNISIA
01_08_2022_11_10;01/08/2022;01/08/2022;TU902;landed;TUN;CARTHAGE;MRS;PROVENCE;01/08/2022 12:10;11h;01/08/2022 14:45;13h;01/08/2022 12:26;01/08/2022 14:55;01/08/2022 12:26;01/08/2022 14:55;16.0;10.0;TU;FRANCE;TUNISIA
01_08_2022_11_15;01/08/2022;01/08/2022;TU374;landed;TUN;CARTHAGE;ALG;HOUARI BOUMEDIENE;01/08/2022 12:15;11h;01/08/2022 13:35;13h;01/08/2022 12:48;01/08/2022 14:05;01/08/2022 12:48;01/08/2022 14:05;33.0;30.0;TU;ALGERIA;TUNISIA
01_08_2022_11_35;01/08/2022;01/08/2022;TU700;landed;TUN;CARTHAGE;GVA;GENEVE COINTRIN;01/08/2022 12:35;12h;01/08/2022 15:30;15h;01/08/2022 13:24;01/08/2022 16:11;01/08/2022 13:24;01/08/2022 16:11;49.0;41.0;TU;SWITZERLAND;TUNISIA
01_08_2022_11_45;01/08/2022;01/08/2022;TU246;landed;TUN;CARTHAGE;SXB;ENTZHEIM;01/08/2022 12:45;12h;01/08/2022 16:00;15h;01/08/2022 13:37;01/08/2022 16:39;01/08/2022 13:37;01/08/2022 16:39;52.0;39.0;TU;FRANCE;TUNISIA
01_08_2022_12_40;01/08/2022;01/08/2022;TU542;landed;TUN;CARTHAGE;MUC;FRANZ JOSEF STRAUSS;01/08/2022 13:40;13h;01/08/2022 16:50;16h;01/08/2022 14:06;01/08/2022 17:12;01/08/2022 14:06;;26.0;22.0;TU;GERMANY;TUNISIA
01_08_2022_12_45;01/08/2022;01/08/2022;TU152;landed;TUN;CARTHAGE;AMM;QUEEN ALIA INTL;01/08/2022 13:45;13h;01/08/2022 19:30;19h;01/08/2022 14:29;01/08/2022 20:12;01/08/2022 14:29;01/08/2022 20:12;44.0;42.0;TU;JORDAN;TUNISIA
01_08_2022_12_55;01/08/2022;01/08/2022;TU148;landed;TUN;CARTHAGE;DXB;DUBAI INTL;01/08/2022 13:55;14h;01/08/2022 22:40;22h;01/08/2022 15:00;01/08/2022 23:45;01/08/2022 15:00;;65.0;65.0;TU;UNITED ARAB EMIRATES;TUNISIA
01_08_2022_09_30;01/08/2022;01/08/2022;TU404;landed;MJI;MITIGA AIRPORT;TUN;CARTHAGE;01/08/2022 10:30;09h;01/08/2022 10:45;10h;;01/08/2022 11:30;;01/08/2022 11:30;45.0;45.0;TU;TUNISIA;LIBYA
01_08_2022_09_20;01/08/2022;01/08/2022;TU997;landed;NCE;COTE DAZUR;TUN;CARTHAGE;01/08/2022 10:20;10h;01/08/2022 10:55;10h;01/08/2022 11:14;01/08/2022 11:35;01/08/2022 11:14;01/08/2022 11:35;54.0;40.0;TU;TUNISIA;FRANCE
01_08_2022_09_25;01/08/2022;01/08/2022;TU931;landed;MRS;PROVENCE;TUN;CARTHAGE;01/08/2022 10:25;09h;01/08/2022 11:00;10h;01/08/2022 10:35;;01/08/2022 10:35;;10.0;0.0;TU;TUNISIA;FRANCE
01_08_2022_10_25;01/08/2022;01/08/2022;TU753;landed;FCO;FIUMICINO;TUN;CARTHAGE;01/08/2022 11:25;10h;01/08/2022 11:40;10h;01/08/2022 11:31;01/08/2022 11:50;01/08/2022 11:31;01/08/2022 11:50;6.0;10.0;TU;TUNISIA;ITALY
01_08_2022_09_20;01/08/2022;01/08/2022;TU717;landed;ORY;ORLY;TUN;CARTHAGE;01/08/2022 10:20;09h;01/08/2022 11:45;10h;01/08/2022 10:31;;01/08/2022 10:31;;11.0;0.0;TU;TUNISIA;FRANCE
01_08_2022_10_30;01/08/2022;01/08/2022;TU751;landed;LYS;SAINT EXUPERY;TUN;CARTHAGE;01/08/2022 11:30;11h;01/08/2022 12:25;12h;01/08/2022 12:10;01/08/2022 13:00;01/08/2022 12:10;01/08/2022 13:00;40.0;35.0;TU;TUNISIA;FRANCE
01_08_2022_10_45;01/08/2022;01/08/2022;TU757;landed;MXP;MALPENSA;TUN;CARTHAGE;01/08/2022 11:45;10h;01/08/2022 12:35;11h;01/08/2022 11:54;01/08/2022 12:40;01/08/2022 11:54;01/08/2022 12:40;9.0;5.0;TU;TUNISIA;ITALY
01_08_2022_11_20;01/08/2022;01/08/2022;TU745;landed;FRA;FRANKFURT MAIN;TUN;CARTHAGE;01/08/2022 12:20;11h;01/08/2022 13:40;13h;;01/08/2022 14:58;;;78.0;78.0;TU;TUNISIA;GERMANY
