ID_FLIGHT,DEPARTURE_DATE,ARRIVAL_DATE,FLIGHT_NUMBER,FLIGHT_STATUS,DEPARTURE_IATA,DEPARTURE_AIRPORT,ARRIVAL_IATA,ARRIVAL_AIRPORT,DEPARTURE_SCHEDULED,DEPARTURE_HOUR,ARRIVAL_SCHEDULED,ARRIVAL_HOUR,DEPARTURE_ESTIMATED,ARRIVAL_ESTIMATED,DEPARTURE_ACTUAL,ARRIVAL_ACTUAL,DEPARTURE_DELAY,ARRIVAL_DELAY,AIRLINE,ARRIVAL_COUNTRY,DEPARTURE_COUNTRY
TU148_31_07_2022_12_55,31/07/2022,31/07/2022,TU148,landed,TUN,CARTHAGE,DXB,DUBAI INTL,2022-07-31 13:55,13h,2022-07-31 22:40,21h,2022-07-31 14:04,2022-07-31 22:57,2022-07-31 14:04,,9.0,17.0,TU,UNITED ARAB EMIRATES,TUNISIA
TU700_31_07_2022_13_05,31/07/2022,31/07/2022,TU700,landed,TUN,CARTHAGE,GVA,GENEVE COINTRIN,2022-07-31 14:05,13h,2022-07-31 17:00,16h,2022-07-31 14:49,2022-07-31 17:42,2022-07-31 14:49,2022-07-31 17:42,44.0,42.0,TU,SWITZERLAND,TUNISIA
TU850_31_07_2022_14_10,31/07/2022,31/07/2022,TU850,landed,TUN,CARTHAGE,LYS,SAINT EXUPERY,2022-07-31 15:10,14h,2022-07-31 18:00,17h,,,,,0.0,0.0,TU,FRANCE,TUNISIA
TU722_31_07_2022_14_35,31/07/2022,31/07/2022,TU722,landed,TUN,CARTHAGE,ORY,ORLY,2022-07-31 15:35,15h,2022-07-31 19:00,18h,2022-07-31 16:27,2022-07-31 19:42,2022-07-31 16:27,2022-07-31 19:42,52.0,42.0,TU,FRANCE,TUNISIA
TU397_31_07_2022_14_55,31/07/2022,31/07/2022,TU397,landed,TUN,CARTHAGE,OUA,OUAGADOUGOU,2022-07-31 15:55,15h,2022-07-31 19:15,18h,2022-07-31 16:32,2022-07-31 19:52,2022-07-31 16:32,,37.0,37.0,TU,BURKINA FASO,TUNISIA
TU720_31_07_2022_15_55,31/07/2022,31/07/2022,TU720,landed,TUN,CARTHAGE,ORY,ORLY,2022-07-31 16:55,16h,2022-07-31 20:20,19h,2022-07-31 17:27,2022-07-31 20:39,2022-07-31 17:27,2022-07-31 20:39,32.0,19.0,TU,FRANCE,TUNISIA
TU216_31_07_2022_16_55,31/07/2022,31/07/2022,TU216,landed,TUN,CARTHAGE,IST,ATATURK,2022-07-31 17:55,17h,2022-07-31 22:35,21h,2022-07-31 18:20,2022-07-31 22:48,2022-07-31 18:20,2022-07-31 22:48,25.0,13.0,TU,TURKEY,TUNISIA
TU854_31_07_2022_18_30,31/07/2022,31/07/2022,TU854,landed,TUN,CARTHAGE,LYS,SAINT EXUPERY,2022-07-31 19:30,19h,2022-07-31 22:20,22h,2022-07-31 20:30,2022-07-31 23:20,2022-07-31 20:30,,60.0,60.0,TU,FRANCE,TUNISIA
TU514_31_07_2022_19_05,31/07/2022,31/07/2022,TU514,landed,TUN,CARTHAGE,BCN,BARCELONA,2022-07-31 20:05,19h,2022-07-31 22:45,21h,,2022-07-31 22:34,,2022-07-31 22:34,0.0,11.0,TU,SPAIN,TUNISIA
TU606_31_07_2022_20_05,31/07/2022,01/08/2022,TU606,landed,TUN,CARTHAGE,MAD,BARAJAS,2022-07-31 21:05,23h,2022-08-01 00:20,02h,2022-08-01 00:40,2022-08-01 03:45,2022-08-01 00:40,2022-08-01 03:45,215.0,205.0,TU,SPAIN,TUNISIA
TU753_31_07_2022_09_35,31/07/2022,31/07/2022,TU753,landed,FCO,FIUMICINO,TUN,CARTHAGE,2022-07-31 10:35,10h,2022-07-31 10:50,10h,2022-07-31 11:03,2022-07-31 11:20,2022-07-31 11:03,2022-07-31 11:20,28.0,30.0,TU,TUNISIA,ITALY
TU931_31_07_2022_09_25,31/07/2022,31/07/2022,TU931,landed,MRS,PROVENCE,TUN,CARTHAGE,2022-07-31 10:25,09h,2022-07-31 11:00,10h,2022-07-31 10:32,,2022-07-31 10:32,,7.0,0.0,TU,TUNISIA,FRANCE
TU997_31_07_2022_09_30,31/07/2022,31/07/2022,TU997,landed,NCE,COTE DAZUR,TUN,CARTHAGE,2022-07-31 10:30,11h,2022-07-31 11:05,11h,2022-07-31 12:02,2022-07-31 12:30,2022-07-31 12:02,2022-07-31 12:30,92.0,85.0,TU,TUNISIA,FRANCE
TU717_31_07_2022_09_20,31/07/2022,31/07/2022,TU717,landed,ORY,ORLY,TUN,CARTHAGE,2022-07-31 10:20,10h,2022-07-31 11:45,11h,2022-07-31 11:19,2022-07-31 12:40,2022-07-31 11:19,2022-07-31 12:40,59.0,55.0,TU,TUNISIA,FRANCE
TU363_31_07_2022_10_35,31/07/2022,31/07/2022,TU363,landed,BLQ,BOLOGNA,TUN,CARTHAGE,2022-07-31 11:35,14h,2022-07-31 12:05,11h,2022-07-31 15:10,,,,215.0,215.0,TU,TUNISIA,ITALY
TU757_31_07_2022_10_45,31/07/2022,31/07/2022,TU757,landed,MXP,MALPENSA,TUN,CARTHAGE,2022-07-31 11:45,11h,2022-07-31 12:35,12h,2022-07-31 12:45,2022-07-31 13:20,2022-07-31 12:45,2022-07-31 13:20,60.0,45.0,TU,TUNISIA,ITALY
TU703_31_07_2022_11_00,31/07/2022,31/07/2022,TU703,landed,GVA,GENEVE COINTRIN,TUN,CARTHAGE,2022-07-31 12:00,11h,2022-07-31 12:55,12h,2022-07-31 12:51,2022-07-31 13:35,2022-07-31 12:51,2022-07-31 13:35,51.0,40.0,TU,TUNISIA,SWITZERLAND
TU745_31_07_2022_11_20,31/07/2022,31/07/2022,TU745,landed,FRA,FRANKFURT MAIN,TUN,CARTHAGE,2022-07-31 12:20,11h,2022-07-31 13:40,12h,,,,,0.0,0.0,TU,TUNISIA,GERMANY
TU215_31_07_2022_12_10,31/07/2022,31/07/2022,TU215,landed,IST,ATATURK,TUN,CARTHAGE,2022-07-31 13:10,12h,2022-07-31 13:55,13h,2022-07-31 13:05,2022-07-31 14:05,2022-07-31 13:05,2022-07-31 14:05,10.0,10.0,TU,TUNISIA,TURKEY
