flight_date,flight_status,departure_airport,departure_timezone,departure_iata,departure_delay_minutes,departure_scheduled,departure_estimated,departure_actual,arrival_airport,arrival_timezone,arrival_iata,arrival_scheduled,arrival_delay_minutes,arrival_estimated,arrival_actual,airline_name,airline_iata,airline_icao,flight_number,flight_iata,flight_icao,year,month,day,day_of_week,total_delay_minutes,route,is_delayed
2025-12-21,landed,Houari Boumediene,Africa/Algiers,ALG,33.0,2025-12-21 13:50:00+00:00,2025-12-21 13:50:00+00:00,2025-12-21 14:33:00+00:00,Carthage,Africa/Tunis,TUN,2025-12-21 15:00:00+00:00,33.0,2025-12-21 15:30:00+00:00,2025-12-21 15:33:00+00:00,Tunisair,TU,TAR,375,TU375,TAR375,2025,12,21,Sunday,66.0,ALG → TUN,True
2025-12-21,Unknown,Carthage,Africa/Tunis,TUN,0.0,2025-12-21 14:05:00+00:00,2025-12-21 14:05:00+00:00,,Geneve-cointrin,Europe/Zurich,GVA,2025-12-21 16:00:00+00:00,0.0,,,Tunisair,TU,TAR,700,TU700,TAR700,2025,12,21,Sunday,0.0,TUN → GVA,False
2025-12-21,landed,Carthage,Africa/Tunis,TUN,0.0,2025-12-21 13:45:00+00:00,2025-12-21 13:45:00+00:00,2025-12-21 14:07:00+00:00,Heathrow,Europe/London,LHR,2025-12-21 15:50:00+00:00,0.0,2025-12-21 15:26:00+00:00,2025-12-21 15:31:00+00:00,Tunisair,TU,TAR,790,TU790,TAR790,2025,12,21,Sunday,0.0,TUN → LHR,False
2025-12-21,scheduled,Carthage,Africa/Tunis,TUN,126.0,2025-12-21 13:35:00+00:00,2025-12-21 13:35:00+00:00,2025-12-21 16:05:00+00:00,Orly,Europe/Paris,ORY,2025-12-21 16:00:00+00:00,126.0,2025-12-21 18:06:00+00:00,,Tunisair,TU,TAR,722,TU722,TAR722,2025,12,21,Sunday,252.0,TUN → ORY,True
2025-12-21,landed,Carthage,Africa/Tunis,TUN,41.0,2025-12-21 12:50:00+00:00,2025-12-21 12:50:00+00:00,2025-12-21 13:49:00+00:00,Marseille Provence Airport,Europe/Paris,MRS,2025-12-21 14:25:00+00:00,41.0,2025-12-21 15:07:00+00:00,2025-12-21 15:06:00+00:00,Tunisair,TU,TAR,902,TU902,TAR902,2025,12,21,Sunday,82.0,TUN → MRS,True
2025-12-21,scheduled,Carthage,Africa/Tunis,TUN,0.0,2025-12-21 12:40:00+00:00,2025-12-21 12:40:00+00:00,2025-12-21 14:51:00+00:00,Cote D'azur International Airport,Europe/Paris,NCE,2025-12-21 14:10:00+00:00,0.0,,,Tunisair,TU,TAR,998,TU998,TAR998,2025,12,21,Sunday,0.0,TUN → NCE,False
2025-12-21,landed,Habib Bourguiba,Africa/Tunis,MIR,42.0,2025-12-21 12:20:00+00:00,2025-12-21 12:20:00+00:00,2025-12-21 13:12:00+00:00,Charles De Gaulle,Europe/Paris,CDG,2025-12-21 14:50:00+00:00,42.0,2025-12-21 15:30:00+00:00,2025-12-21 15:32:00+00:00,Tunisair,TU,TAR,440,TU440,TAR440,2025,12,21,Sunday,84.0,MIR → CDG,True
2025-12-21,landed,Carthage,Africa/Tunis,TUN,4.0,2025-12-21 11:40:00+00:00,2025-12-21 11:40:00+00:00,2025-12-21 12:08:00+00:00,Houari Boumediene,Africa/Algiers,ALG,2025-12-21 13:00:00+00:00,4.0,2025-12-21 13:07:00+00:00,2025-12-21 13:04:00+00:00,Tunisair,TU,TAR,374,TU374,TAR374,2025,12,21,Sunday,8.0,TUN → ALG,False
2025-12-22,scheduled,Carthage,Africa/Tunis,TUN,0.0,2025-12-22 22:10:00+00:00,2025-12-22 22:10:00+00:00,,Istanbul Airport,Europe/Istanbul,IST,2025-12-23 02:45:00+00:00,10.0,,,Tunisair,TU,TAR,216,TU216,TAR216,2025,12,22,Monday,10.0,TUN → IST,False
2025-12-22,scheduled,Marseille Provence Airport,Europe/Paris,MRS,0.0,2025-12-22 22:20:00+00:00,2025-12-22 22:20:00+00:00,,Carthage,Africa/Tunis,TUN,2025-12-22 23:55:00+00:00,6.0,,,Tunisair,TU,TAR,903,TU903,TAR903,2025,12,22,Monday,6.0,MRS → TUN,False
2025-12-22,active,Carthage,Africa/Tunis,TUN,0.0,2025-12-22 15:10:00+00:00,2025-12-22 15:10:00+00:00,,Blagnac,Europe/Paris,TLS,2025-12-22 17:05:00+00:00,50.0,,,Tunisair,TU,TAR,282,TU282,TAR282,2025,12,22,Monday,50.0,TUN → TLS,True
2025-12-22,scheduled,Orly,Europe/Paris,ORY,0.0,2025-12-22 20:20:00+00:00,2025-12-22 20:20:00+00:00,,Carthage,Africa/Tunis,TUN,2025-12-22 22:45:00+00:00,0.0,,,Tunisair,TU,TAR,725,TU725,TAR725,2025,12,22,Monday,0.0,ORY → TUN,False
2025-12-22,scheduled,Pierre Elliott Trudeau International,America/Montreal,YUL,0.0,2025-12-22 14:15:00+00:00,2025-12-22 14:15:00+00:00,,Carthage,Africa/Tunis,TUN,2025-12-23 04:30:00+00:00,0.0,,,Tunisair,TU,TAR,203,TU203,TAR203,2025,12,22,Monday,0.0,YUL → TUN,False
2025-12-22,scheduled,Marseille Provence Airport,Europe/Paris,MRS,0.0,2025-12-22 21:05:00+00:00,2025-12-22 21:05:00+00:00,,Habib Bourguiba,Africa/Tunis,MIR,2025-12-22 22:50:00+00:00,0.0,,,Tunisair,TU,TAR,681,TU681,TAR681,2025,12,22,Monday,0.0,MRS → MIR,False
